,disability,stayed_in_emergency_shelter,minority,hospitalized_due_to_malnutrition,marital_status,Gender,num_shelters_year,years_not_in_residence,Age,num_times_relocated_month,days_since_hot_meal,num_dependents,avg_meal_per_day
6825,no,yes,no,no,married,male,6,3,24,16,97,3,1
6826,yes,yes,no,yes,married,male,2,4,44,16,148,3,1
6827,yes,no,yes,yes,single,male,1,4,57,16,93,2,1
6828,no,no,yes,no,single,female,6,5,64,18,351,1,1
6829,no,yes,no,no,married,other,10,14,24,15,498,0,1
6830,no,yes,yes,yes,single,other,9,3,32,18,394,3,1
6831,yes,no,yes,no,single,other,4,5,49,6,264,0,0
6832,yes,no,no,no,married,female,10,11,58,8,322,3,1
6833,yes,yes,yes,no,single,other,5,3,22,19,122,1,0
6834,yes,yes,no,no,married,female,5,7,63,9,107,0,0
6835,no,no,yes,yes,married,female,1,8,60,20,277,3,1
6836,no,yes,no,no,single,male,6,2,25,20,87,1,1
6837,yes,yes,no,yes,married,female,2,9,58,16,66,3,1
6838,no,yes,yes,yes,single,other,5,7,43,18,80,0,1
6839,yes,yes,yes,no,married,male,10,4,35,6,368,3,1
6840,no,yes,no,no,married,male,2,15,35,9,533,2,0
6841,no,no,yes,yes,married,female,7,2,60,16,456,0,1
6842,no,no,no,no,single,male,1,1,33,13,136,0,1
6843,no,no,no,yes,married,female,9,1,46,7,198,0,0
6844,yes,yes,yes,yes,married,female,3,1,49,15,521,1,0
6845,yes,yes,no,yes,single,female,1,7,36,10,325,3,1
6846,yes,no,yes,yes,single,other,8,11,36,5,396,2,1
6847,yes,no,yes,no,single,female,6,8,36,8,86,3,0
6848,no,yes,no,no,married,female,4,13,20,15,231,2,1
6849,yes,no,yes,no,married,other,5,12,65,17,177,0,1
6850,yes,yes,no,no,single,female,9,6,60,8,337,1,0
6851,yes,no,yes,no,single,male,1,10,47,16,599,2,0
6852,no,yes,yes,no,married,male,5,9,57,7,261,2,0
6853,no,no,yes,no,married,male,2,5,56,11,596,3,1
6854,yes,no,yes,yes,married,male,1,5,55,15,333,0,1
6855,yes,yes,no,no,single,male,8,6,54,18,391,3,1
6856,yes,yes,yes,no,single,other,7,8,19,17,470,1,0
6857,yes,no,no,no,married,male,3,7,32,5,246,3,1
6858,no,yes,yes,yes,single,male,5,12,64,6,208,0,1
6859,yes,no,yes,no,married,male,2,1,64,18,89,0,0
6860,yes,no,yes,yes,married,female,10,1,27,12,428,3,0
6861,no,no,no,no,single,female,8,10,42,13,89,2,1
6862,no,no,yes,no,married,female,8,9,21,8,208,1,0
6863,yes,no,yes,yes,married,other,10,9,55,6,425,3,1
6864,yes,yes,yes,yes,single,other,2,1,42,8,170,0,0
6865,yes,yes,no,no,married,other,5,9,32,4,324,0,0
6866,yes,yes,no,yes,married,male,5,8,60,7,427,1,1
6867,yes,yes,yes,no,single,other,1,13,50,17,78,1,1
6868,yes,no,no,yes,married,female,1,7,46,15,199,2,0
6869,yes,no,yes,no,married,other,6,11,40,12,487,3,1
6870,no,no,yes,yes,married,male,5,14,45,9,110,3,1
6871,yes,no,no,no,married,female,9,15,32,12,61,0,0
6872,yes,no,yes,no,single,male,8,12,37,8,592,2,1
6873,yes,no,yes,no,married,male,1,11,52,5,67,0,0
6874,yes,no,yes,yes,married,female,8,11,26,5,371,0,0
6875,yes,no,yes,no,married,female,6,9,63,15,572,0,1
6876,yes,no,yes,yes,single,male,10,6,51,11,480,1,0
6877,no,no,yes,yes,married,male,4,13,39,4,313,3,1
6878,no,yes,yes,yes,married,male,10,11,48,20,340,0,0
6879,no,yes,yes,no,married,female,9,13,38,20,388,0,1
6880,yes,yes,yes,no,single,male,8,4,64,9,368,2,1
6881,yes,yes,yes,yes,single,other,4,15,63,8,260,0,0
6882,no,no,yes,yes,married,female,4,9,33,20,177,0,0
6883,no,yes,no,no,married,male,2,1,25,14,411,2,1
6884,no,no,no,yes,married,female,5,15,31,7,299,1,1
6885,no,yes,no,no,married,male,9,4,62,18,478,3,0
6886,yes,yes,yes,no,single,female,6,15,45,12,508,2,1
6887,yes,yes,no,no,single,female,4,7,56,6,568,2,0
6888,no,yes,yes,no,single,male,3,7,58,14,562,3,1
6889,yes,yes,no,yes,married,male,10,4,53,9,246,2,0
6890,no,yes,no,yes,married,other,3,9,31,8,346,0,1
6891,no,no,no,yes,single,other,8,10,25,10,153,2,0
6892,yes,yes,no,yes,single,female,3,14,53,10,54,3,0
6893,yes,no,yes,yes,single,male,2,9,22,13,574,0,1
6894,no,no,yes,yes,single,female,4,6,44,14,574,2,0
6895,no,no,yes,no,married,male,10,1,30,7,457,0,0
6896,no,no,yes,no,married,male,10,5,39,17,512,3,1
6897,no,no,no,no,married,female,9,3,50,9,173,3,1
6898,yes,yes,no,no,married,male,9,14,24,16,424,0,1
6899,no,no,yes,no,married,male,9,14,48,7,131,2,0
6900,no,no,no,yes,married,male,2,2,46,12,522,2,0
6901,no,no,no,no,single,female,8,8,62,13,79,3,1
6902,yes,yes,no,no,single,male,10,7,62,13,60,3,1
6903,no,no,yes,no,married,other,6,7,19,4,311,2,0
6904,yes,no,yes,yes,single,male,10,15,19,15,513,0,1
6905,yes,yes,yes,yes,single,male,5,11,65,13,226,2,1
6906,no,no,no,yes,single,male,3,2,65,13,225,3,0
6907,yes,no,yes,no,single,other,5,9,19,20,428,1,1
6908,no,no,yes,yes,married,male,4,4,39,8,233,0,1
6909,yes,no,yes,no,married,other,7,1,35,10,84,0,0
6910,no,no,no,no,married,female,8,2,38,15,81,2,1
6911,yes,no,no,yes,single,female,3,8,61,10,59,2,0
6912,no,no,no,yes,married,male,7,15,52,15,577,0,0
6913,yes,no,no,no,married,male,3,8,53,10,351,1,0
6914,no,yes,no,no,married,other,9,14,49,20,221,1,1
6915,no,no,no,no,single,female,6,4,56,4,177,0,1
6916,no,no,yes,yes,married,male,6,9,64,12,452,2,1
6917,yes,no,no,yes,single,male,7,10,28,20,35,0,1
6918,yes,no,yes,no,married,other,4,9,46,14,421,2,1
6919,yes,no,yes,no,single,other,10,6,45,9,356,3,0
6920,yes,yes,no,no,single,female,2,1,41,4,185,2,1
6921,no,yes,no,no,married,female,3,7,52,9,330,3,1
6922,yes,no,yes,yes,married,male,7,11,58,20,142,3,1
6923,yes,no,yes,no,married,other,5,5,50,9,293,3,0
6924,no,yes,no,yes,married,other,6,7,64,10,296,0,0
6925,no,yes,yes,yes,single,other,7,9,34,18,399,3,1
6926,yes,yes,yes,no,single,male,9,15,47,9,49,3,1
6927,no,yes,yes,no,single,other,9,9,46,8,333,2,1
6928,yes,yes,yes,yes,single,male,6,4,55,19,113,3,0
6929,yes,yes,no,no,married,male,8,8,33,20,160,1,0
6930,yes,no,yes,yes,married,male,3,2,29,13,528,2,0
6931,no,no,no,no,married,male,8,2,43,16,557,1,1
6932,no,no,yes,no,single,female,4,10,34,13,138,0,1
6933,yes,no,no,yes,single,male,4,1,53,18,43,3,1
6934,no,no,yes,no,single,male,6,4,60,14,41,3,1
6935,no,no,no,yes,married,female,3,1,53,14,170,0,1
6936,yes,yes,yes,no,married,male,9,15,27,7,85,3,0
6937,no,no,no,yes,single,other,9,5,32,5,168,2,0
6938,yes,yes,no,no,single,female,6,7,45,8,178,0,0
6939,no,no,yes,no,married,male,7,5,22,15,219,0,0
6940,no,yes,yes,yes,married,other,1,9,31,19,178,1,0
6941,no,no,yes,yes,married,other,10,1,31,6,48,2,0
6942,no,no,no,yes,single,other,1,5,21,5,176,2,0
6943,no,yes,no,yes,married,female,9,13,56,4,414,3,1
6944,yes,yes,yes,no,married,female,4,1,19,17,379,1,1
6945,yes,no,yes,no,married,other,3,5,41,15,242,0,1
6946,yes,yes,no,no,married,other,10,6,57,13,271,1,1
6947,yes,yes,no,yes,married,male,10,12,24,13,576,2,1
6948,no,no,yes,no,married,male,8,2,40,19,78,0,1
6949,no,yes,yes,no,single,female,4,8,40,7,571,0,0
6950,yes,yes,yes,yes,married,female,1,8,45,16,116,0,0
6951,no,yes,yes,yes,married,other,6,7,65,14,67,3,0
6952,yes,yes,yes,yes,married,female,3,9,33,8,462,0,1
6953,yes,no,no,no,single,other,5,14,52,8,516,0,1
6954,no,no,yes,no,married,male,1,7,54,7,307,1,0
6955,yes,yes,yes,yes,married,other,8,1,21,7,397,1,1
6956,no,yes,no,no,married,female,3,10,34,18,346,0,0
6957,no,yes,yes,yes,single,male,7,12,34,19,423,3,1
6958,yes,yes,yes,yes,single,male,9,12,27,15,266,2,0
6959,no,yes,no,no,single,other,1,4,51,14,482,3,0
6960,yes,no,yes,yes,married,female,3,12,25,7,536,3,0
6961,yes,no,yes,yes,married,female,9,3,53,18,358,1,1
6962,no,no,no,no,single,other,6,4,45,18,308,1,1
6963,no,no,yes,no,married,female,8,4,52,7,462,0,1
6964,yes,no,yes,yes,married,other,6,2,60,14,555,3,0
6965,no,no,no,yes,single,other,8,10,41,17,384,2,0
6966,no,no,no,no,married,male,1,10,22,10,392,1,0
6967,yes,yes,yes,no,married,male,1,1,42,7,532,1,0
6968,yes,no,yes,yes,single,other,1,5,53,17,518,3,1
6969,yes,no,yes,no,married,female,9,8,19,15,205,0,1
6970,yes,yes,yes,no,single,other,7,4,39,5,144,3,1
6971,no,yes,yes,no,married,female,10,8,38,6,201,0,1
6972,yes,no,no,no,single,other,8,7,62,11,72,1,0
6973,yes,yes,no,no,single,female,7,10,49,10,425,1,1
6974,yes,yes,no,yes,single,male,9,4,56,9,178,0,1
6975,yes,yes,no,no,married,male,9,4,62,20,37,1,1
6976,yes,yes,yes,yes,single,male,8,12,22,6,314,3,0
6977,no,no,yes,no,married,female,9,2,39,7,511,1,1
6978,no,no,yes,yes,single,male,8,12,29,11,208,1,1
6979,yes,yes,yes,yes,single,other,1,2,41,10,574,3,1
6980,no,no,no,no,single,male,2,15,60,8,556,3,1
6981,no,yes,yes,no,single,other,1,14,18,19,89,3,0
6982,no,yes,no,no,single,male,9,13,40,11,207,0,0
6983,yes,yes,no,yes,married,female,2,7,62,12,456,1,0
6984,yes,yes,yes,no,married,other,4,8,22,9,152,1,1
6985,yes,yes,yes,no,married,other,10,7,30,7,437,1,0
6986,no,yes,no,yes,single,male,3,4,19,5,276,2,0
6987,no,no,yes,no,single,male,3,5,61,15,496,3,0
6988,no,no,no,yes,single,female,10,3,29,16,470,0,1
6989,no,yes,yes,no,single,female,7,13,40,17,212,2,1
6990,no,yes,no,no,single,female,5,15,28,10,213,0,1
6991,no,yes,yes,no,married,other,4,7,51,7,506,3,1
6992,no,no,no,no,single,female,8,10,58,9,110,3,1
6993,no,no,no,yes,single,other,2,4,59,12,217,0,0
6994,no,yes,no,yes,married,male,9,14,64,16,587,1,1
6995,yes,no,no,yes,single,other,2,6,36,12,367,0,0
6996,no,yes,yes,no,single,other,8,12,45,5,406,3,0
6997,yes,no,no,no,married,other,4,8,26,13,227,3,1
6998,no,yes,yes,yes,married,male,4,6,34,8,424,1,1
6999,no,no,yes,yes,married,female,5,5,23,10,64,0,0
7000,yes,yes,yes,yes,married,other,1,6,63,17,366,2,1
7001,no,no,yes,yes,married,female,8,15,45,19,339,1,1
7002,yes,yes,no,yes,single,female,7,3,18,4,85,2,0
7003,yes,no,no,yes,single,female,2,10,64,20,296,3,0
7004,yes,no,no,no,married,other,10,11,60,13,423,2,0
7005,yes,no,no,yes,single,male,3,12,64,10,386,2,0
7006,no,no,no,yes,single,other,10,15,27,9,428,2,1
7007,yes,yes,yes,yes,married,other,8,15,18,18,345,0,0
7008,yes,no,no,yes,single,female,7,8,33,16,476,0,0
7009,no,yes,no,yes,single,other,5,9,44,15,294,2,1
7010,yes,no,no,yes,married,female,3,1,40,19,95,3,0
7011,no,no,no,yes,married,female,9,14,51,20,447,0,1
7012,yes,yes,yes,no,single,female,10,11,19,14,504,2,0
7013,no,no,no,no,single,female,9,15,65,17,465,0,0
7014,no,no,no,yes,married,female,10,14,22,6,443,0,1
7015,yes,no,no,no,single,female,9,2,23,20,193,0,1
7016,yes,yes,no,yes,single,other,8,1,56,6,565,2,1
7017,no,no,yes,no,single,other,4,15,32,17,87,2,0
7018,yes,no,no,no,single,female,4,6,21,14,375,1,0
7019,no,yes,yes,yes,married,male,9,2,32,20,529,3,1
7020,yes,yes,yes,no,married,other,2,7,53,16,274,0,0
7021,no,no,no,yes,married,male,3,13,40,19,387,2,0
7022,yes,yes,yes,no,single,male,1,12,52,8,269,2,0
7023,yes,yes,no,yes,single,male,7,5,57,8,106,1,1
7024,yes,no,yes,no,married,male,1,5,36,13,395,1,0
7025,no,no,no,no,married,other,10,15,26,9,312,3,0
7026,no,no,no,no,single,male,3,13,32,14,113,1,1
7027,yes,yes,yes,yes,married,female,3,12,61,5,568,0,1
7028,yes,yes,no,no,single,female,10,3,62,14,107,1,0
7029,yes,no,no,no,single,female,2,13,51,11,298,2,1
7030,yes,yes,yes,no,single,other,8,13,52,15,103,0,1
7031,yes,no,yes,no,single,male,7,9,30,18,193,3,1
7032,yes,no,yes,no,single,female,8,4,25,6,168,2,0
7033,yes,yes,yes,yes,single,female,7,12,19,15,554,0,1
7034,no,yes,yes,yes,single,other,4,9,53,10,111,2,0
7035,yes,no,no,yes,single,male,4,7,39,6,510,0,1
7036,yes,no,yes,no,married,other,9,15,38,4,91,0,0
7037,yes,yes,yes,no,married,female,9,2,47,10,37,2,0
7038,no,yes,yes,yes,married,male,3,4,31,5,143,2,1
7039,yes,no,yes,yes,married,female,3,12,63,16,216,2,0
7040,yes,yes,yes,no,married,other,3,3,39,17,527,1,1
7041,no,no,yes,yes,married,male,1,2,62,4,345,0,0
7042,no,no,yes,yes,single,other,3,2,22,17,454,2,1
7043,no,no,yes,no,married,female,2,1,44,20,363,0,0
7044,yes,yes,no,no,single,male,10,14,64,8,302,0,0
7045,yes,no,no,no,married,male,6,11,57,4,132,2,1
7046,yes,yes,no,yes,single,male,8,10,20,4,264,3,0
7047,yes,no,yes,no,single,female,5,7,34,15,372,0,1
7048,yes,no,no,yes,single,male,4,2,19,8,108,1,0
7049,no,yes,yes,yes,married,other,8,15,40,18,271,2,1
7050,yes,no,yes,yes,single,other,6,13,54,16,527,0,0
7051,no,yes,no,yes,married,female,4,5,20,15,311,2,0
7052,yes,yes,no,yes,single,male,3,13,36,15,484,2,0
7053,yes,yes,yes,yes,married,other,7,15,59,16,452,1,1
7054,yes,yes,yes,yes,single,other,7,10,52,14,320,2,0
7055,yes,yes,yes,no,married,male,10,3,30,18,595,0,0
7056,yes,yes,no,yes,married,male,5,1,64,17,202,3,1
7057,yes,no,no,no,married,other,6,11,45,10,117,1,1
7058,yes,yes,no,no,single,other,9,9,49,4,268,3,0
7059,no,no,yes,yes,single,male,3,7,18,5,237,2,0
7060,no,no,no,yes,married,female,10,3,27,19,148,3,1
7061,no,no,yes,no,single,female,2,15,60,11,332,2,0
7062,yes,no,no,yes,married,female,1,6,55,15,438,3,1
7063,no,no,no,yes,single,other,7,4,50,5,439,1,0
7064,yes,no,no,no,single,other,10,8,28,9,237,2,1
7065,no,no,yes,no,married,female,10,12,30,11,534,3,1
7066,yes,yes,yes,yes,married,female,2,13,29,20,492,0,0
7067,no,no,yes,no,single,other,2,3,18,8,73,2,1
7068,yes,yes,no,no,married,other,2,6,37,15,43,0,0
7069,yes,no,yes,no,single,male,1,11,40,12,134,0,1
7070,yes,yes,no,yes,single,male,7,14,61,9,355,1,1
7071,yes,yes,no,yes,married,male,4,13,38,13,95,2,1
7072,no,no,yes,no,single,other,9,14,21,5,103,1,0
7073,yes,no,no,no,married,male,5,1,29,15,496,2,1
7074,yes,yes,no,no,married,male,5,1,61,15,218,1,0
7075,yes,yes,yes,yes,married,other,10,9,48,15,395,0,1
7076,no,no,yes,no,married,female,4,14,40,12,46,2,0
7077,no,yes,yes,no,married,male,8,10,40,15,307,2,1
7078,no,yes,no,yes,married,other,5,1,19,10,297,3,0
7079,no,no,yes,no,married,female,4,1,63,16,111,3,1
7080,no,no,yes,yes,married,female,4,5,36,11,499,1,1
7081,yes,yes,no,no,married,female,6,15,50,14,149,1,0
7082,yes,no,no,yes,married,female,8,12,32,19,120,2,0
7083,yes,yes,yes,yes,single,male,8,4,31,7,357,2,1
7084,yes,yes,yes,no,married,other,2,10,43,13,268,0,0
7085,yes,yes,no,yes,single,female,8,13,34,10,156,3,0
7086,yes,no,no,yes,married,female,4,7,41,20,402,1,1
7087,no,yes,yes,no,single,female,3,10,62,13,208,3,1
7088,no,no,yes,yes,married,other,6,2,63,11,229,1,1
7089,no,no,no,yes,single,female,4,3,23,7,371,2,1
7090,yes,yes,yes,no,single,other,9,6,49,13,494,1,0
7091,no,yes,yes,no,single,male,3,14,61,5,289,3,1
7092,no,no,no,no,married,female,1,6,24,20,583,2,1
7093,no,no,yes,yes,single,female,3,1,57,4,396,2,1
7094,no,no,yes,no,single,other,10,12,28,18,54,2,1
7095,yes,yes,yes,no,married,other,3,7,23,11,323,3,0
7096,no,yes,no,yes,married,male,5,12,50,12,91,0,0
7097,no,yes,no,no,single,other,5,14,30,14,284,2,0
7098,yes,yes,yes,yes,single,male,3,6,36,5,131,2,0
7099,no,no,yes,yes,married,female,6,1,41,17,386,3,0
7100,yes,no,no,yes,single,male,7,1,33,10,142,3,1
7101,yes,yes,no,no,married,other,7,9,34,8,450,1,0
7102,yes,yes,no,yes,married,male,5,5,64,8,510,3,1
7103,yes,yes,no,yes,married,male,4,14,57,7,48,2,0
7104,no,yes,yes,no,single,other,9,6,65,17,297,2,1
7105,yes,no,no,no,married,other,8,10,63,12,426,3,0
7106,yes,no,no,no,married,other,4,4,25,17,209,2,1
7107,no,no,no,yes,married,female,3,4,58,4,84,3,1
7108,no,no,yes,yes,single,other,8,12,46,10,147,3,0
7109,no,no,yes,yes,married,female,6,15,27,5,502,1,0
7110,no,yes,no,no,married,female,3,5,33,11,484,2,1
7111,no,yes,no,no,married,female,10,1,22,12,408,0,1
7112,yes,yes,yes,yes,married,female,7,11,41,14,235,1,0
7113,yes,no,no,no,single,male,6,13,38,14,269,1,1
7114,yes,yes,no,no,single,other,2,11,24,7,554,0,0
7115,no,yes,yes,no,married,male,2,1,54,11,397,3,1
7116,no,yes,no,no,single,other,8,11,46,17,561,0,0
7117,yes,yes,no,yes,married,male,4,1,33,4,278,0,1
7118,no,yes,yes,yes,single,other,8,12,25,4,591,2,1
7119,yes,yes,no,yes,single,other,1,4,53,12,512,1,1
7120,no,yes,no,no,married,female,7,12,59,10,43,0,1
7121,no,yes,no,no,married,male,1,14,59,15,465,2,0
7122,no,no,no,yes,single,male,9,6,51,8,285,3,1
7123,no,no,yes,yes,single,male,2,3,64,18,504,1,0
7124,no,yes,yes,yes,single,other,2,12,47,4,580,3,0
7125,no,yes,yes,no,single,male,1,4,41,7,77,1,1
7126,no,no,no,no,single,male,8,3,54,5,445,0,1
7127,no,yes,yes,no,married,female,9,1,60,5,361,0,1
7128,yes,no,no,yes,single,male,3,8,28,9,513,2,1
7129,no,no,yes,yes,married,other,9,9,55,8,600,3,1
7130,no,yes,yes,no,married,male,2,10,40,13,242,2,1
7131,yes,yes,yes,no,married,male,2,3,18,18,152,3,1
7132,no,yes,yes,yes,single,female,1,1,41,10,341,2,0
7133,no,yes,no,yes,married,male,5,8,33,9,285,0,0
7134,no,yes,no,yes,married,female,2,1,30,17,160,1,1
7135,yes,yes,no,no,married,female,4,15,36,15,432,3,1
7136,no,no,no,no,single,male,6,3,42,14,391,2,0
7137,yes,yes,no,yes,married,female,7,10,33,10,154,1,0
7138,no,no,yes,yes,single,female,9,14,23,11,62,1,0
7139,no,yes,yes,yes,married,male,1,2,34,16,327,3,1
7140,yes,yes,no,no,single,male,4,14,59,19,248,1,0
7141,no,yes,yes,yes,single,female,9,2,29,5,240,2,1
7142,no,yes,no,no,married,other,4,7,24,8,238,3,1
7143,no,no,yes,no,single,other,1,7,45,19,219,3,1
7144,yes,no,no,no,single,male,8,4,18,4,111,0,0
7145,no,yes,yes,no,married,male,5,12,52,10,65,0,1
7146,yes,yes,yes,no,single,female,8,15,37,19,546,3,0
7147,yes,no,no,no,single,male,1,15,41,14,322,2,1
7148,no,no,no,no,married,male,2,5,34,16,420,0,1
7149,yes,no,yes,no,single,male,5,14,32,10,60,0,1
7150,yes,no,yes,yes,married,male,2,3,63,18,240,3,1
7151,yes,yes,no,no,married,female,7,9,48,11,301,3,0
7152,yes,no,no,no,married,male,6,1,58,4,397,2,1
7153,yes,yes,yes,no,single,male,10,2,25,9,416,1,0
7154,yes,yes,no,yes,married,other,2,14,64,20,192,0,1
7155,no,no,yes,no,married,other,4,12,48,20,502,3,0
7156,yes,yes,no,yes,single,other,4,15,56,7,324,0,0
7157,no,no,no,no,single,male,2,15,44,18,324,1,1
7158,no,no,yes,no,married,male,7,8,60,14,385,1,0
7159,no,yes,no,yes,married,male,5,10,56,20,594,2,0
7160,yes,no,yes,yes,married,other,4,2,34,18,129,3,0
7161,yes,yes,no,no,single,female,9,9,24,13,429,0,0
7162,no,yes,yes,yes,married,female,5,9,29,17,104,1,0
7163,no,yes,no,no,married,female,5,14,43,8,511,1,1
7164,no,no,yes,yes,married,female,4,2,49,4,384,3,1
7165,yes,no,no,no,single,male,3,12,25,7,523,2,1
7166,no,yes,yes,no,single,male,7,1,55,13,383,1,0
7167,yes,yes,yes,no,single,male,6,1,62,14,545,3,0
7168,yes,no,yes,yes,single,other,3,13,22,11,333,1,0
7169,yes,no,no,no,single,other,1,6,35,20,235,1,0
7170,no,yes,yes,no,married,female,6,9,46,6,147,0,0
7171,yes,no,yes,no,single,female,1,14,38,11,452,0,1
7172,yes,yes,yes,no,married,male,10,7,28,15,524,1,1
7173,no,no,no,yes,single,female,7,7,65,16,342,3,1
7174,yes,no,yes,yes,married,other,2,15,31,14,513,0,1
7175,no,no,no,no,single,male,9,14,45,16,481,1,1
7176,yes,no,yes,no,single,female,1,14,25,15,463,0,0
7177,yes,yes,no,no,married,other,7,7,58,17,592,0,1
7178,no,no,yes,yes,married,other,9,2,27,7,505,1,0
7179,no,no,yes,no,single,male,6,7,31,14,227,0,0
7180,yes,yes,no,yes,married,male,10,9,52,13,155,0,0
7181,yes,no,yes,yes,married,female,3,13,43,10,572,0,1
7182,yes,no,no,yes,married,other,9,2,50,6,461,0,0
7183,no,yes,no,yes,single,female,10,6,35,10,326,2,1
7184,yes,no,yes,yes,single,other,6,7,19,13,234,1,0
7185,no,yes,no,yes,single,other,5,15,26,6,600,1,0
7186,no,no,yes,yes,single,other,6,1,55,10,508,1,0
7187,no,no,yes,yes,married,female,9,4,43,19,549,0,1
7188,no,no,no,no,married,male,1,3,63,10,161,2,1
7189,yes,no,yes,no,single,other,5,7,61,20,395,2,0
7190,no,no,no,no,married,male,7,9,60,15,72,0,0
7191,yes,yes,no,no,married,male,4,15,58,4,377,1,0
7192,yes,yes,no,yes,married,other,2,6,44,20,289,2,1
7193,yes,no,no,no,single,other,6,13,21,12,116,0,0
7194,no,yes,no,no,single,other,3,12,34,7,204,1,1
7195,no,yes,yes,yes,single,other,7,6,34,18,424,3,0
7196,yes,yes,no,yes,married,male,10,12,34,12,488,2,1
7197,no,yes,no,no,single,male,7,12,20,16,506,0,1
7198,no,no,yes,yes,single,other,5,12,43,7,220,2,0
7199,no,no,no,no,married,male,10,9,48,7,460,3,1
7200,no,yes,no,no,married,female,3,12,63,19,294,1,1
7201,yes,no,no,no,married,male,6,13,26,6,238,2,1
7202,no,no,yes,no,married,male,7,13,32,17,183,2,0
7203,yes,no,yes,no,married,female,7,15,26,8,207,0,1
7204,yes,no,yes,yes,single,other,6,12,63,17,316,3,0
7205,yes,yes,yes,no,single,male,4,4,55,13,289,2,1
7206,no,yes,yes,no,single,female,7,9,53,17,373,0,0
7207,yes,no,yes,no,single,female,1,4,61,10,107,1,1
7208,yes,no,no,no,married,female,4,1,26,10,207,2,1
7209,no,yes,yes,no,single,other,8,14,61,8,211,2,0
7210,no,no,yes,no,single,female,1,3,37,11,412,2,0
7211,yes,no,yes,no,single,other,6,7,33,9,172,3,1
7212,yes,no,yes,no,married,male,4,3,57,20,579,0,0
7213,no,no,no,yes,single,female,10,11,36,5,400,0,0
7214,yes,no,yes,yes,single,male,6,1,35,12,245,1,1
7215,yes,no,no,no,single,male,5,13,51,18,503,3,0
7216,yes,no,no,no,single,other,4,3,21,12,250,0,0
7217,yes,yes,yes,yes,single,male,5,13,50,16,135,0,0
7218,yes,yes,no,no,married,male,4,12,36,8,212,3,0
7219,no,no,yes,no,single,male,8,14,28,18,408,1,0
7220,yes,no,no,no,married,male,2,2,47,5,576,1,1
7221,yes,no,no,yes,married,other,10,10,38,11,360,0,1
7222,no,no,no,no,single,male,8,2,40,8,288,2,1
7223,yes,yes,yes,yes,single,other,10,13,24,12,251,0,0
7224,yes,yes,no,yes,married,other,5,11,18,20,503,2,0
7225,yes,no,yes,no,married,male,4,14,47,16,192,3,1
7226,yes,yes,no,no,married,other,10,12,45,7,414,0,1
7227,no,no,no,yes,single,male,1,7,59,8,446,0,1
7228,yes,yes,no,no,single,male,6,15,53,14,520,2,0
7229,yes,no,yes,yes,married,male,10,5,33,15,84,1,1
7230,yes,no,yes,no,single,other,9,4,65,15,561,2,0
7231,yes,yes,yes,yes,single,male,4,12,62,8,352,3,0
7232,no,no,yes,no,single,male,8,2,36,7,439,0,0
7233,yes,no,no,no,single,female,9,4,28,5,85,1,1
7234,yes,yes,no,no,married,male,1,13,22,5,90,1,1
7235,yes,yes,yes,no,married,female,3,12,41,17,135,3,0
7236,yes,no,no,no,single,other,6,10,57,4,524,0,1
7237,yes,no,no,no,married,male,4,4,22,7,332,1,1
7238,no,yes,no,yes,married,other,4,15,41,12,516,3,0
7239,no,yes,yes,no,married,other,2,13,21,6,77,2,0
7240,yes,yes,yes,no,single,other,2,15,41,11,226,2,1
7241,no,no,yes,yes,married,female,8,11,41,11,251,1,0
7242,yes,no,no,no,single,female,5,6,40,11,600,0,0
7243,no,no,yes,yes,single,male,7,12,65,17,356,0,1
7244,no,no,yes,no,single,female,6,6,27,18,203,3,0
7245,yes,yes,no,no,single,female,6,3,64,10,357,2,0
7246,no,yes,no,no,married,male,8,1,24,4,570,2,1
7247,no,no,yes,yes,married,male,3,3,64,11,326,0,1
7248,yes,no,yes,yes,married,male,5,9,58,14,162,0,1
7249,no,no,yes,yes,single,female,5,3,45,11,279,3,1
7250,yes,no,no,yes,married,male,8,6,42,6,583,0,0
7251,no,yes,yes,yes,married,male,5,1,40,15,410,2,0
7252,yes,no,no,yes,married,male,2,1,23,6,529,0,1
7253,no,yes,yes,no,single,female,2,11,48,8,435,3,0
7254,yes,no,yes,no,single,female,7,7,22,11,367,1,1
7255,no,no,no,yes,single,male,6,9,27,7,107,3,0
7256,yes,yes,no,no,married,other,8,13,49,20,585,3,1
7257,yes,yes,no,no,single,female,4,3,40,19,451,1,0
7258,yes,yes,no,yes,married,other,10,11,42,19,555,0,1
7259,no,yes,yes,no,single,female,6,4,36,4,65,1,0
7260,no,no,no,yes,single,other,8,10,65,12,436,0,0
7261,yes,no,no,yes,single,other,3,12,38,8,271,2,1
7262,yes,yes,no,no,single,male,10,10,59,17,323,0,0
7263,no,no,yes,no,married,male,1,10,27,20,213,1,0
7264,yes,yes,no,yes,single,male,2,9,59,15,237,2,0
7265,no,yes,yes,no,single,other,1,3,49,4,134,2,1
7266,yes,no,yes,yes,married,female,7,7,45,20,83,1,0
7267,no,yes,no,no,married,other,4,15,64,16,150,0,1
7268,no,yes,no,yes,married,male,9,14,25,7,240,0,0
7269,yes,yes,yes,yes,single,male,1,9,54,5,37,0,0
7270,yes,no,no,yes,single,other,8,4,60,19,169,2,1
7271,no,yes,no,no,single,female,7,2,43,13,161,2,1
7272,no,no,no,yes,single,other,3,12,51,7,599,3,0
